rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M5-SYNTH-001,M5-SYNTH正式定义｜模型五总合成,L0 定义、边界与安全,SYNTH-定义边界,通用,定义,M5-SYNTH,,七个M5前置模块至少完成结构输出。,安全停止、共享基础状态争议或关键输入缺失。,由共享命盘引擎及M1—M4上游结果提供；SYNTH只做总合成、去重、裁决和发布，不重新计算旺衰。,夫妻星与M2资格证据只能说明关系入口和确认条件，不能替代具体对象的长期行为、边界、修复与现实门槛。,日支与M3底盘只提供用户亲密关系中的功能来源，不能单独证明具体对象适配。,按BASE→PARTNER→EXCHANGE→BOUND→REPAIR→RHYTHM→GAP→SYNTH顺序路由；任何高层不得绕过下游现实门槛。,位置只修正功能核心度和显著度；不得据此推断具体伴侣身份、时间或关系结果。,根气只修正用户需要和功能是否稳定；不能证明具体关系已稳定运行。,旺弱只修正需要强度和失衡风险；不直接等于适配高低。,喜忌只修正功能承载与摩擦；不得直接翻译成理想伴侣五行、生肖或出生年份。,真合化成立时替换原功能；合化争议时回退到上位功能类别并停止精细合成。,近位提高该功能进入亲密关系核心的可能；远位只保留背景或阶段性候选。,100,不加分；定义／门控,report_status,把核心需要、具体对象行为、交换、边界、修复、节奏和五层差异合成为一条可追溯的适配结论。,最终结论不是找一种完美人格，而是判断核心需要、现实行为和生活条件能否接起来。,不得由本规则推出唯一正缘、必然结婚、必然长久、忠诚、职业、收入、外貌、生肖、出生年份或具体婚期；不得用适配分要求用户进入、维持、原谅或复合；现实安全、同意、生活目标、持续行为和反例优先。,高,待验证,,provisional=true; rule_group=SYNTH-定义边界,0.9
M5-SYNTH-002,七模块合成公式｜不得跳过现实层,L0 定义、边界与安全,SYNTH-定义边界,通用,边界,M5-SYNTH,,执行模型五总合成。,从十神、喜用神或心动特质直接跳到高适配。,由共享命盘引擎及M1—M4上游结果提供；SYNTH只做总合成、去重、裁决和发布，不重新计算旺衰。,夫妻星与M2资格证据只能说明关系入口和确认条件，不能替代具体对象的长期行为、边界、修复与现实门槛。,日支与M3底盘只提供用户亲密关系中的功能来源，不能单独证明具体对象适配。,按BASE→PARTNER→EXCHANGE→BOUND→REPAIR→RHYTHM→GAP→SYNTH顺序路由；任何高层不得绕过下游现实门槛。,位置只修正功能核心度和显著度；不得据此推断具体伴侣身份、时间或关系结果。,根气只修正用户需要和功能是否稳定；不能证明具体关系已稳定运行。,旺弱只修正需要强度和失衡风险；不直接等于适配高低。,喜忌只修正功能承载与摩擦；不得直接翻译成理想伴侣五行、生肖或出生年份。,真合化成立时替换原功能；合化争议时回退到上位功能类别并停止精细合成。,近位提高该功能进入亲密关系核心的可能；远位只保留背景或阶段性候选。,100,不加分；定义／门控,boundary_note,必须按BASE→PARTNER→EXCHANGE→BOUND→REPAIR→RHYTHM→GAP→SYNTH顺序合成。,感觉、标签和命理结构都不能替代具体行为与现实条件。,不得由本规则推出唯一正缘、必然结婚、必然长久、忠诚、职业、收入、外貌、生肖、出生年份或具体婚期；不得用适配分要求用户进入、维持、原谅或复合；现实安全、同意、生活目标、持续行为和反例优先。,高,待验证,,provisional=true; rule_group=SYNTH-定义边界,0.9
M5-SYNTH-003,现实安全优先｜普通适配立即停止,L0 定义、边界与安全,SYNTH-定义边界,通用,安全,M5-SYNTH,,存在暴力、威胁、强迫、跟踪、经济控制、身体或性越界、难以退出。,无。,由共享命盘引擎及M1—M4上游结果提供；SYNTH只做总合成、去重、裁决和发布，不重新计算旺衰。,夫妻星与M2资格证据只能说明关系入口和确认条件，不能替代具体对象的长期行为、边界、修复与现实门槛。,日支与M3底盘只提供用户亲密关系中的功能来源，不能单独证明具体对象适配。,按BASE→PARTNER→EXCHANGE→BOUND→REPAIR→RHYTHM→GAP→SYNTH顺序路由；任何高层不得绕过下游现实门槛。,位置只修正功能核心度和显著度；不得据此推断具体伴侣身份、时间或关系结果。,根气只修正用户需要和功能是否稳定；不能证明具体关系已稳定运行。,旺弱只修正需要强度和失衡风险；不直接等于适配高低。,喜忌只修正功能承载与摩擦；不得直接翻译成理想伴侣五行、生肖或出生年份。,真合化成立时替换原功能；合化争议时回退到上位功能类别并停止精细合成。,近位提高该功能进入亲密关系核心的可能；远位只保留背景或阶段性候选。,100,不加分；定义／门控,safety_status,安全事实覆盖所有功能互补、五行相合、桥接和高分候选。,有现实伤害时，先处理安全和选择权，不讨论是否互补。,不得由本规则推出唯一正缘、必然结婚、必然长久、忠诚、职业、收入、外貌、生肖、出生年份或具体婚期；不得用适配分要求用户进入、维持、原谅或复合；现实安全、同意、生活目标、持续行为和反例优先。,高,待验证,,provisional=true; rule_group=SYNTH-定义边界,0.9
M5-SYNTH-004,核心现实门槛优先｜结构高分不得覆盖,L0 定义、边界与安全,SYNTH-定义边界,通用,边界,M5-SYNTH,,RG02、RG03、RG06或RG07出现明确核心不匹配。,差异已有现实可执行方案并被双方持续验证。,由共享命盘引擎及M1—M4上游结果提供；SYNTH只做总合成、去重、裁决和发布，不重新计算旺衰。,夫妻星与M2资格证据只能说明关系入口和确认条件，不能替代具体对象的长期行为、边界、修复与现实门槛。,日支与M3底盘只提供用户亲密关系中的功能来源，不能单独证明具体对象适配。,按BASE→PARTNER→EXCHANGE→BOUND→REPAIR→RHYTHM→GAP→SYNTH顺序路由；任何高层不得绕过下游现实门槛。,位置只修正功能核心度和显著度；不得据此推断具体伴侣身份、时间或关系结果。,根气只修正用户需要和功能是否稳定；不能证明具体关系已稳定运行。,旺弱只修正需要强度和失衡风险；不直接等于适配高低。,喜忌只修正功能承载与摩擦；不得直接翻译成理想伴侣五行、生肖或出生年份。,真合化成立时替换原功能；合化争议时回退到上位功能类别并停止精细合成。,近位提高该功能进入亲密关系核心的可能；远位只保留背景或阶段性候选。,100,不加分；定义／门控,reality_gates,价值、关系意图、婚育家庭、身体亲密等核心门槛不通过时，最高保留结构需求，不发布高适配。,关系能力再好，也不能自动跨过核心人生条件的不一致。,不得由本规则推出唯一正缘、必然结婚、必然长久、忠诚、职业、收入、外貌、生肖、出生年份或具体婚期；不得用适配分要求用户进入、维持、原谅或复合；现实安全、同意、生活目标、持续行为和反例优先。,高,待验证,,provisional=true; rule_group=SYNTH-定义边界,0.9
M5-SYNTH-005,资料不足停止｜关键字段不可补写,L0 定义、边界与安全,SYNTH-定义边界,通用,停止,M5-SYNTH,,共享命盘状态、主需求、具体对象事实或现实门槛无法还原。,仅做无对象FG1结构需求报告。,由共享命盘引擎及M1—M4上游结果提供；SYNTH只做总合成、去重、裁决和发布，不重新计算旺衰。,夫妻星与M2资格证据只能说明关系入口和确认条件，不能替代具体对象的长期行为、边界、修复与现实门槛。,日支与M3底盘只提供用户亲密关系中的功能来源，不能单独证明具体对象适配。,按BASE→PARTNER→EXCHANGE→BOUND→REPAIR→RHYTHM→GAP→SYNTH顺序路由；任何高层不得绕过下游现实门槛。,位置只修正功能核心度和显著度；不得据此推断具体伴侣身份、时间或关系结果。,根气只修正用户需要和功能是否稳定；不能证明具体关系已稳定运行。,旺弱只修正需要强度和失衡风险；不直接等于适配高低。,喜忌只修正功能承载与摩擦；不得直接翻译成理想伴侣五行、生肖或出生年份。,真合化成立时替换原功能；合化争议时回退到上位功能类别并停止精细合成。,近位提高该功能进入亲密关系核心的可能；远位只保留背景或阶段性候选。,100,不加分；定义／门控,report_status,缺失字段显式为空，不用默认人格或推测补齐。,资料不足时只说明能确认的部分，不替双方补写答案。,不得由本规则推出唯一正缘、必然结婚、必然长久、忠诚、职业、收入、外貌、生肖、出生年份或具体婚期；不得用适配分要求用户进入、维持、原谅或复合；现实安全、同意、生活目标、持续行为和反例优先。,高,待验证,,provisional=true; rule_group=SYNTH-定义边界,0.9
M5-SYNTH-006,只有命盘资料最高FG2,L0 定义、边界与安全,SYNTH-定义边界,通用,边界,M5-SYNTH,,没有具体对象跨场景现实资料。,无。,由共享命盘引擎及M1—M4上游结果提供；SYNTH只做总合成、去重、裁决和发布，不重新计算旺衰。,夫妻星与M2资格证据只能说明关系入口和确认条件，不能替代具体对象的长期行为、边界、修复与现实门槛。,日支与M3底盘只提供用户亲密关系中的功能来源，不能单独证明具体对象适配。,按BASE→PARTNER→EXCHANGE→BOUND→REPAIR→RHYTHM→GAP→SYNTH顺序路由；任何高层不得绕过下游现实门槛。,位置只修正功能核心度和显著度；不得据此推断具体伴侣身份、时间或关系结果。,根气只修正用户需要和功能是否稳定；不能证明具体关系已稳定运行。,旺弱只修正需要强度和失衡风险；不直接等于适配高低。,喜忌只修正功能承载与摩擦；不得直接翻译成理想伴侣五行、生肖或出生年份。,真合化成立时替换原功能；合化争议时回退到上位功能类别并停止精细合成。,近位提高该功能进入亲密关系核心的可能；远位只保留背景或阶段性候选。,99,不加分；定义／门控,fit_grade,命盘可生成核心需要、伴侣行为与结构观察计划，不能证明某个对象已适配。,只看八字最多说明该验证什么，不能证明眼前这个人已经合适。,不得由本规则推出唯一正缘、必然结婚、必然长久、忠诚、职业、收入、外貌、生肖、出生年份或具体婚期；不得用适配分要求用户进入、维持、原谅或复合；现实安全、同意、生活目标、持续行为和反例优先。,高,待验证,,provisional=true; rule_group=SYNTH-定义边界,0.9
M5-SYNTH-007,心动不计入长期适配基础分,L0 定义、边界与安全,SYNTH-定义边界,通用,边界,M5-SYNTH,,M1吸引强或当前对象令人非常心动。,吸引特质同时由独立长期行为和现实门槛支持。,由共享命盘引擎及M1—M4上游结果提供；SYNTH只做总合成、去重、裁决和发布，不重新计算旺衰。,夫妻星与M2资格证据只能说明关系入口和确认条件，不能替代具体对象的长期行为、边界、修复与现实门槛。,日支与M3底盘只提供用户亲密关系中的功能来源，不能单独证明具体对象适配。,按BASE→PARTNER→EXCHANGE→BOUND→REPAIR→RHYTHM→GAP→SYNTH顺序路由；任何高层不得绕过下游现实门槛。,位置只修正功能核心度和显著度；不得据此推断具体伴侣身份、时间或关系结果。,根气只修正用户需要和功能是否稳定；不能证明具体关系已稳定运行。,旺弱只修正需要强度和失衡风险；不直接等于适配高低。,喜忌只修正功能承载与摩擦；不得直接翻译成理想伴侣五行、生肖或出生年份。,真合化成立时替换原功能；合化争议时回退到上位功能类别并停止精细合成。,近位提高该功能进入亲密关系核心的可能；远位只保留背景或阶段性候选。,99,不加分；定义／门控,attraction_fit_relation,M1只解释入口和可能高估的信号，不自动提高FG。,很心动值得承认，但长期适配仍要独立验证。,不得由本规则推出唯一正缘、必然结婚、必然长久、忠诚、职业、收入、外貌、生肖、出生年份或具体婚期；不得用适配分要求用户进入、维持、原谅或复合；现实安全、同意、生活目标、持续行为和反例优先。,高,待验证,,provisional=true; rule_group=SYNTH-定义边界,0.9
M5-SYNTH-008,关系准入不计入长期成熟基础分,L0 定义、边界与安全,SYNTH-定义边界,通用,边界,M5-SYNTH,,M2资格证据通过。,相同功能已在长期、压力和修复中独立验证。,由共享命盘引擎及M1—M4上游结果提供；SYNTH只做总合成、去重、裁决和发布，不重新计算旺衰。,夫妻星与M2资格证据只能说明关系入口和确认条件，不能替代具体对象的长期行为、边界、修复与现实门槛。,日支与M3底盘只提供用户亲密关系中的功能来源，不能单独证明具体对象适配。,按BASE→PARTNER→EXCHANGE→BOUND→REPAIR→RHYTHM→GAP→SYNTH顺序路由；任何高层不得绕过下游现实门槛。,位置只修正功能核心度和显著度；不得据此推断具体伴侣身份、时间或关系结果。,根气只修正用户需要和功能是否稳定；不能证明具体关系已稳定运行。,旺弱只修正需要强度和失衡风险；不直接等于适配高低。,喜忌只修正功能承载与摩擦；不得直接翻译成理想伴侣五行、生肖或出生年份。,真合化成立时替换原功能；合化争议时回退到上位功能类别并停止精细合成。,近位提高该功能进入亲密关系核心的可能；远位只保留背景或阶段性候选。,99,不加分；定义／门控,selection_fit_relation,通过门槛只说明愿意进入关系，不证明能长期经营。,能进入关系只是开始，不代表长期能力已经成立。,不得由本规则推出唯一正缘、必然结婚、必然长久、忠诚、职业、收入、外貌、生肖、出生年份或具体婚期；不得用适配分要求用户进入、维持、原谅或复合；现实安全、同意、生活目标、持续行为和反例优先。,高,待验证,,provisional=true; rule_group=SYNTH-定义边界,0.9
M5-SYNTH-009,正常功能必须保留｜适配不是找相反的人,L0 定义、边界与安全,SYNTH-定义边界,通用,边界,M5-SYNTH,,M3正常功能与M4失衡同源。,正常功能本身缺乏有效性或现实已造成伤害。,由共享命盘引擎及M1—M4上游结果提供；SYNTH只做总合成、去重、裁决和发布，不重新计算旺衰。,夫妻星与M2资格证据只能说明关系入口和确认条件，不能替代具体对象的长期行为、边界、修复与现实门槛。,日支与M3底盘只提供用户亲密关系中的功能来源，不能单独证明具体对象适配。,按BASE→PARTNER→EXCHANGE→BOUND→REPAIR→RHYTHM→GAP→SYNTH顺序路由；任何高层不得绕过下游现实门槛。,位置只修正功能核心度和显著度；不得据此推断具体伴侣身份、时间或关系结果。,根气只修正用户需要和功能是否稳定；不能证明具体关系已稳定运行。,旺弱只修正需要强度和失衡风险；不直接等于适配高低。,喜忌只修正功能承载与摩擦；不得直接翻译成理想伴侣五行、生肖或出生年份。,真合化成立时替换原功能；合化争议时回退到上位功能类别并停止精细合成。,近位提高该功能进入亲密关系核心的可能；远位只保留背景或阶段性候选。,99,不加分；定义／门控,primary_fit_need,先保留有效功能，再寻找限制过用、补足缺位和恢复接力的结构。,合适的人会接住你的优势，并帮助它在需要时转向下一步。,不得由本规则推出唯一正缘、必然结婚、必然长久、忠诚、职业、收入、外貌、生肖、出生年份或具体婚期；不得用适配分要求用户进入、维持、原谅或复合；现实安全、同意、生活目标、持续行为和反例优先。,高,待验证,,provisional=true; rule_group=SYNTH-定义边界,0.9
M5-SYNTH-010,具体对象现实行为优先,L0 定义、边界与安全,SYNTH-定义边界,通用,证据,M5-SYNTH,,结构候选与具体对象行为冲突。,现实资料不可靠或已被持续新证据修正。,由共享命盘引擎及M1—M4上游结果提供；SYNTH只做总合成、去重、裁决和发布，不重新计算旺衰。,夫妻星与M2资格证据只能说明关系入口和确认条件，不能替代具体对象的长期行为、边界、修复与现实门槛。,日支与M3底盘只提供用户亲密关系中的功能来源，不能单独证明具体对象适配。,按BASE→PARTNER→EXCHANGE→BOUND→REPAIR→RHYTHM→GAP→SYNTH顺序路由；任何高层不得绕过下游现实门槛。,位置只修正功能核心度和显著度；不得据此推断具体伴侣身份、时间或关系结果。,根气只修正用户需要和功能是否稳定；不能证明具体关系已稳定运行。,旺弱只修正需要强度和失衡风险；不直接等于适配高低。,喜忌只修正功能承载与摩擦；不得直接翻译成理想伴侣五行、生肖或出生年份。,真合化成立时替换原功能；合化争议时回退到上位功能类别并停止精细合成。,近位提高该功能进入亲密关系核心的可能；远位只保留背景或阶段性候选。,99,不加分；定义／门控,counterevidence,现实反例直接降级、改道或停止，不以命理高分覆盖。,对方现实中反复做不到，比理论上看起来合适更重要。,不得由本规则推出唯一正缘、必然结婚、必然长久、忠诚、职业、收入、外貌、生肖、出生年份或具体婚期；不得用适配分要求用户进入、维持、原谅或复合；现实安全、同意、生活目标、持续行为和反例优先。,高,待验证,,provisional=true; rule_group=SYNTH-定义边界,0.9
