relative_path,filename,extension,package_section,size_bytes,sha256
00_开发入口/M0_原始开发起步包/01_核心规则库/M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,M0_八字结构判定与用神规则库_V1.9_版本与争议治理闭环版.xlsx,.xlsx,00_开发入口,833466,95b4a6f6b4641f2f2005e9d43dbd4a57f7812968b777b9135c4c3950bfc65e1a
00_开发入口/M0_原始开发起步包/02_开发工作台/M0_真实命例分析与回归工作台_V1.0_适配核心V1.9.xlsx,M0_真实命例分析与回归工作台_V1.0_适配核心V1.9.xlsx,.xlsx,00_开发入口,399456,fc8554e2e8a0a97ef8f37e55e3fe8d39ee49b0ff06aece957d838420e2316889
00_开发入口/M0_原始开发起步包/03_速查手册/M0_八字结构判定速查手册_V1.0.docx,M0_八字结构判定速查手册_V1.0.docx,.docx,00_开发入口,55489,a0f03da8401e786377a9567dd31abeb89108b4d1d281f61a40af2130f05b5559
00_开发入口/M0_原始开发起步包/03_速查手册/M0_八字结构判定速查手册_V1.0.pdf,M0_八字结构判定速查手册_V1.0.pdf,.pdf,00_开发入口,641350,3d26fc0a2d7b0bdbd038d24149cb854dd8dee3e873e215a2a075bbc379ff3d2d
00_开发入口/M0_原始开发起步包/README_先从这里开始.txt,README_先从这里开始.txt,.txt,00_开发入口,407,a39c28d3d5e4228a18f72206972b9624a74812e12e2af66c20b54779f4a04eeb
00_开发入口/M0_原始开发起步包/文件校验.txt,文件校验.txt,.txt,00_开发入口,569,218c1636935f8b0f61abbb11223d1cdcb8a461cd8967954af4c0091adcf52fd2
00_开发入口/README_先从这里开始.md,README_先从这里开始.md,.md,00_开发入口,2217,77bfd54ba3a11c558a810b56ca21afb3c16e43416b2c1c05668546b9476b0d32
00_开发入口/开发实施顺序_V1.0.md,开发实施顺序_V1.0.md,.md,00_开发入口,3062,14a163ab60200e7fdd8bb39a1a3fbd43ece613aee048ea3a4a5f3504259fe80f
00_开发入口/系统版本清单_V1.0.json,系统版本清单_V1.0.json,.json,00_开发入口,2019,da81bcc65d444af713a94d4603f6526b7073210155596d357b88a86b59b2bb95
01_系统规范/八字关系分析系统_M0-M5开发总规范_V1.0.md,八字关系分析系统_M0-M5开发总规范_V1.0.md,.md,01_系统规范,18502,7e1299341abcb0bfc58a03b7244d57974317455b68363e6cde0afaebc8131033
01_系统规范/八字关系分析系统_M0-M5模块接口契约_V1.0.md,八字关系分析系统_M0-M5模块接口契约_V1.0.md,.md,01_系统规范,18349,b7680639da709c57c4cbe455af37c72f278f4bb25ab7f55477d92e82ae87099e
02_运行时核心/M0-M5_全量记录索引_V1.0.csv,M0-M5_全量记录索引_V1.0.csv,.csv,02_运行时核心,3531673,ffe78d8044bffe65d438b474cedcd3985cb78c3055e626243b20430db9148d36
02_运行时核心/M0_M19输出字段_V1.0.csv,M0_M19输出字段_V1.0.csv,.csv,02_运行时核心,23475,be63c3dc6cbda10c33e483a73e7e45564869772f95b01eac4f0b9e7bd93118d0
02_运行时核心/M0_术语编码_V1.0.csv,M0_术语编码_V1.0.csv,.csv,02_运行时核心,95686,cf8fa218dc6fa56723c1b06a69fc09a4dde7b3e7d1f85693f32a4a059fa8744b
02_运行时核心/M0_标准化记录_V1.0.csv,M0_标准化记录_V1.0.csv,.csv,02_运行时核心,2974359,401ccc6bbcb5e7ec81c6c7f798c79916092c38209dacef708ad640aaa4c8f7fc
