rule_id,rule_name,layer,module,applicable_group,rule_type,main_signal,secondary_signal,required_conditions,excluded_conditions,self_strength_status,spouse_star_status,palace_signal,flow_path,signal_position,root_status,strength_level,favorability,transformation_status,distance_level,priority,score_effect,output_slot,internal_logic,user_explanation,forbidden_inference,confidence_base,validation_status,case_refs,notes,version
M2-SYNTH-001,M2-SYNTH｜模块核心定义,L7 总合成与报告引擎,模块基线,通用,基础,六模块结果,统一报告,GATE、CORE、SELF、FLOW、DUAL、TEMPO至少有三个模块产生可用结果；共享基础引擎状态可用。,所有关键模块均停止或命盘基础信息不可靠。,,,,,,,,,,,100,建立M2最终结果对象；不新增命理含义；provisional=true,module_definition,M2-SYNTH只负责把六个已完成模块合成为一份不重复、不越界、可追溯的关系选择报告。,不得在合成阶段新增原模块未支持的结论。,高,门控,待验证,,,V0.8
M2-SYNTH-002,模型边界｜只回答关系选择机制,L7 总合成与报告引擎,模块基线,通用,门控,关系选择,关系结果,准备生成M2最终报告。,,,,,,,,,,,,100,限制输出范围为准入门槛、资格证据、选择位置、确认路径、双重结构与确认节奏。,scope_guard,这份报告只解释你怎样决定是否让一个人真正进入关系，不判断对象好坏、关系结果或长期适配。,不得输出婚姻好坏、第三者、离婚、对象质量、正缘或适合类型。,门控,门控,待验证,,,V0.8
M2-SYNTH-003,六模块输入｜标准输入契约,L7 总合成与报告引擎,输入契约,通用,门控,GATE/CORE/SELF/FLOW/DUAL/TEMPO,模块状态,每个模块至少提供status、candidate、confidence、supporting_rule_ids和evidence_source_ids。,模块结果只有自然语言、没有结构化字段且无法还原来源。,,,,,,,,,,,99,不满足契约的模块标记partial；不得凭文字猜测结构字段。,input_contract,系统会保留每个结论来自哪个模块和哪条规则，避免只凭一段解释继续推断。,不得把缺少来源的自然语言当成高置信结构化证据。,门控,门控,待验证,,,V0.8
M2-SYNTH-004,共享基础引擎｜状态优先检查,L7 总合成与报告引擎,输入契约,通用,停止,共享基础引擎,十神与状态,共享基础引擎提供性别、日主、十神、透藏、根气、旺弱、合化与位置等基础状态。,基础排盘、十神映射或真合化判定存在错误或缺失。,,,,,,,,,,,100,input_status=stopped；停止所有依赖错误基础事实的M2输出。,input_status,如果基础命盘信息本身不可靠，系统会先停止结论，而不是用后续规则补一个看似完整的答案。,不得在基础事实不可靠时强行生成确定报告。,停止,门控,待验证,,,V0.8
M2-SYNTH-005,M1输入｜只作为比较接口,L7 总合成与报告引擎,输入契约,通用,门控,M1心动偏好,M2关系选择,M1结果可用时，可提供primary_attraction、secondary_bonus、confidence与维度映射。,M1缺失、低置信或尚未完成。,,,,,,,,,,,90,M1缺失不影响M2主体；仅attraction_selection_relation留空。,m1_interface_status,模型一只是用来比较“什么让你心动”和“什么让你真正进入关系”，不会参与模型二核心门槛计分。,不得用M1替代夫妻宫、夫妻星或M2各模块证据。,门控,门控,待验证,,,V0.8
M2-SYNTH-006,模块状态词典｜ready、partial、stopped、not_applicable,L7 总合成与报告引擎,输入契约,通用,基础,模块状态,统一路由,准备汇总六模块状态。,,,,,,,,,,,,95,统一module_status枚举；禁止自由文本造成路由不一致。,module_status,每个模块都会标记为可用、部分可用、停止或不适用，系统据此决定哪些字段能发布。,不得把不适用误写成低分，也不得把停止误写成没有这一特质。,高,门控,待验证,,,V0.8
M2-SYNTH-007,候选ID｜必须使用稳定编号,L7 总合成与报告引擎,输入契约,通用,门控,候选维度ID,显示标签,模块输出候选时同时提供稳定ID，如G01、A02、F05、U03、T02。,只有描述性文字、没有可比对的稳定ID。,,,,,,,,,,,94,缺少ID时仅作说明文本，不参与自动去重和比较。,candidate_id,系统用稳定编号识别同一类条件，避免“可靠”“责任感”“承诺清晰”被误当成三项不同标准。,不得仅凭相似词自动视为独立候选。,门控,门控,待验证,,,V0.8
M2-SYNTH-008,证据来源ID｜每个基础事实必须唯一,L7 总合成与报告引擎,证据契约,通用,门控,evidence_source_id,原始命理事实,进入任何评分或置信计算的证据都能追溯到唯一基础事实。,来源ID缺失或多个不同事实错误共用同一ID。,,,,,,,,,,,99,缺失来源的证据不计独立支持；写入dedup_log。,evidence_source_id,系统会记录每项判断来自哪个基础命理事实，避免同一信息被换几种说法重复加分。,不得把规则条数等同于独立证据条数。,门控,门控,待验证,,,V0.8
M2-SYNTH-009,证据组｜相关事实需要归为同源组,L7 总合成与报告引擎,证据契约,通用,基础,evidence_group_id,相关修正,同一十神、同一宫位主气及其透藏、根气、旺弱修正需归入同一证据组。,,,,,,,,,,,,97,建立evidence_group_id；相关修正共享同源封顶。,evidence_group_id,同一颗星的透干、有根、旺弱等状态会共同修饰一个判断，但不会被当成许多互不相关的证据。,不得把状态修正拆成多个独立事实抬高置信度。,高,门控,待验证,,,V0.8
M2-SYNTH-010,独立证据｜至少来自两个不同来源组,L7 总合成与报告引擎,证据契约,通用,门控,独立证据,高置信输出,拟把任一核心字段提升至高置信或锁定双核心。,支持证据全部来自同一基础事实或其派生规则。,,,,,,,,,,,98,不足两个独立来源组时，核心字段置信度上限=中。,evidence_independence,只有不同来源的信息相互印证，系统才会把结论写得更确定；同一信息的多种解释不会放大确定度。,不得用同源规则数量代替独立证据。,门控,门控,待验证,,,V0.8
M2-SYNTH-011,候选分值｜统一转换为0—100,L7 总合成与报告引擎,标准化,通用,基础,模块候选分,归一化,模块提供原始分值、置信等级或候选排序。,,,,,,,,,,,,92,生成normalized_score 0—100；保留原始分值与转换方法。,normalized_score,不同模块的分值会先换算到同一尺度，方便比较，但这些数字只是规则引擎参数，不是统计概率。,不得把归一化分值解释为准确率、成功率或发生概率。,中高,门控,待验证,,,V0.8
M2-SYNTH-012,置信等级｜统一数值映射,L7 总合成与报告引擎,标准化,通用,基础,高/中高/中/中低/低/停止,置信分,模块输出置信等级。,,,,,,,,,,,,92,高=90；中高=80；中=68；中低=55；低=40；停止=0；仅用于初始合成。,confidence_score,系统会把各模块的置信等级换算成统一内部刻度，再结合独立证据和冲突情况校正。,不得把内部置信分当成科学测量或统计验证结果。,中,门控,待验证,,,V0.8
M2-SYNTH-013,字段权威矩阵｜不同模块各司其职,L7 总合成与报告引擎,合成基线,通用,门控,输出字段,模块权威,准备为最终字段选择来源。,,,,,,,,,,,,99,按字段权威矩阵选主来源；低权威模块只能补充或佐证。,authority_matrix,每个模块只负责自己最擅长的问题：夫妻宫定门槛、夫妻星定证据、自我模块定选择位置、路径和节奏模块各自定顺序与速度。,不得让低权威模块覆盖其职责之外的高权威结论。,高,门控,待验证,,,V0.8
M2-SYNTH-014,最终输出数量｜限制核心信息密度,L7 总合成与报告引擎,合成基线,通用,门控,输出数量,用户可读性,内部存在多个候选。,,,,,,,,,,,,94,primary_gate最多1；secondary_gate最多1；proof_behaviors最多3；主路径1＋次路径1；主节奏1。,output_limit,最终报告只保留最关键的一到两项条件，不会把所有十神和规则堆成一长串。,不得为了显得完整而输出三个以上并列核心门槛。,门控,门控,待验证,,,V0.8
M2-SYNTH-015,停止字段｜不得用其他模块硬补,L7 总合成与报告引擎,停止规则,通用,停止,字段停止,低权威回填,某字段权威模块已明确stopped，且没有合法fallback条件。,仅因报告版式需要完整而准备补写。,,,,,,,,,,,100,该字段留空并说明stop_reason；整体结果可保持partial。,field_stop,某一部分证据不足时，系统会明确留白，而不是从别的模块借一个相似结论填满。,不得把缺失字段包装成确定结论。,停止,门控,待验证,,,V0.8
